nom_patissier,specialite,nationalite,lien_wikipedia
Christophe Adam,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Christophe_Adam
Michel Allex,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Michel_Allex
Dominique Ansel,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Dominique_Ansel
Olivier Bajard,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Olivier_Bajard
Frédéric Bau,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Bau
Louis César Benois,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Louis_C%C3%A9sar_Benois
Bastien Blanc-Tailleur,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Bastien_Blanc-Tailleur
Sébastien Bouillet,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Bouillet
Christelle Brua,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Christelle_Brua
Pascal Caffet,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Pascal_Caffet
Jeffrey Cagnes,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jeffrey_Cagnes
Marie-Antoine Carême,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Marie-Antoine_Car%C3%AAme
Frédéric Cassel,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Cassel
Titouan Claudet,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Titouan_Claudet
Philippe Conticini,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Philippe_Conticini
Bruno Cormerais,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Bruno_Cormerais
Yann Couvreur,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Yann_Couvreur
Claire Damon,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Claire_Damon
Émile Darenne,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/%C3%89mile_Darenne
François Daubinet,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Daubinet
Jérôme De Oliveira,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me_De_Oliveira
Christophe Felder,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Christophe_Felder
Christine Ferber,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Christine_Ferber
René Fontaine (pâtissier),Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Ren%C3%A9_Fontaine_(p%C3%A2tissier)
Maxime Frédéric,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Maxime_Fr%C3%A9d%C3%A9ric
Sébastien Gaudard,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Gaudard
Stéphane Glacier,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/St%C3%A9phane_Glacier
Cédric Grolet,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/C%C3%A9dric_Grolet
Amaury Guichon,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Amaury_Guichon
Claire Heitzler,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Claire_Heitzler
Pierre Hermé,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Pierre_Herm%C3%A9
Jean-Paul Hévin,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jean-Paul_H%C3%A9vin
Noëmie Honiat,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/No%C3%ABmie_Honiat
Hugo & Victor,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Hugo_%26_Victor
Yazid Ichemrahen,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Yazid_Ichemrahen
Laurent Jeannin,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Laurent_Jeannin
Pierre Lacam,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Pierre_Lacam
Louis Ernest Ladurée,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Louis_Ernest_Ladur%C3%A9e
Karina Laval,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Karina_Laval
Gaston Lenôtre,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Gaston_Len%C3%B4tre
Patrick Lenôtre,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Patrick_Len%C3%B4tre
Frédéric Madelaine,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Madelaine
Fumiko Maubert,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fumiko_Maubert
Roland Mesnier,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Roland_Mesnier
Nina Métayer,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Nina_M%C3%A9tayer
Christophe Michalak,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Christophe_Michalak
Jacques Mignot,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jacques_Mignot
Baptiste Moirot,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Baptiste_Moirot
Thierry Mulhaupt,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Thierry_Mulhaupt
Eugène Murer,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Murer
Angelo Musa,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Angelo_Musa
Camille Pailleau,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Camille_Pailleau
François Perret (pâtissier),Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Perret_(p%C3%A2tissier)
Jessica Préalpato,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jessica_Pr%C3%A9alpato
Émilie Rey,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/%C3%89milie_Rey
Marc Rivière (pâtissier),Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Marc_Rivi%C3%A8re_(p%C3%A2tissier)
Richard Sève,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Richard_S%C3%A8ve
Philippe Urraca,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Philippe_Urraca
François Vatel,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Vatel
Sébastien Vauxion,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/S%C3%A9bastien_Vauxion
Jonathan Wahid,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jonathan_Wahid
Jessica Yang,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Jessica_Yang
Fabienne Youyoutte,Pâtisserie française,Française,https://fr.wikipedia.org/wiki/Fabienne_Youyoutte
